%   Fri Jun 30 2017 23:18:45 GMT-0300 (-03)
%   Banco de dados para suplementos retirados do Mercado Livre
%
%   Creators:
%       Danilo de Moraes Costa
%       Lucas de Almeida Carotta
%

@relation Sumplementos

@attribute Preco_original       NUMERIC
@attribute Preco_de_venda       NUMERIC
@attribute Quantidade_vendida   NUMERIC
@attribute Marca                NUMERIC
@attribute Produtos             {whey, bcaa, termogenico, glutamina, creatina}

@data
101.95, 101.95, 8, Nutrex, termogenico
58.5, 58.5, 97, Kimera, termogenico
59.9, 59.9, 246, SineFlex, termogenico
129.9, 129.9, 1, Oxyelite, termogenico
152.98, 152.98, 7, Nutrex, termogenico
45.99, 45.99, 23, Max Titanium, termogenico
69.9, 69.9, 31, Power Supplements, termogenico
39.9, 39.9, 2, Oxyelite, termogenico
123.99, 123.99, 307, Nutrex, termogenico
53.9, 53.9, 28, Kimera, termogenico
78.8, 78.8, 81, SineFlex, termogenico
15.9, 15.9, 47, Fitoway, termogenico
139.8, 139.8, 6, Nutrex, termogenico
131.12, 131.12, 1, Oxyelite, termogenico
75.64, 75.64, 49, Integralmedica, termogenico
59.9, 59.9, 430, NewNutrition, glutamina
99.98, 99.98, 125, NewNutrition, glutamina
47.2, 47.2, 655, Integralmedica, glutamina
73.4, 73.4, 334, Soldiers Nutrition, glutamina
64.99, 64.99, 420, Sem Marca, glutamina
30, 30, 54, Probiotica, glutamina
67, 67, 344, Integralmedica, glutamina
69.99, 69.99, 232, Sem Marca, glutamina
46.2, 46.2, 169, Integralmedica, glutamina
120.1, 120.1, 61, Integralmedica, glutamina
64.99, 64.99, 230, Sem Marca, glutamina
87.99, 87.99, 210, NutraNatus, glutamina
159.92, 135.9, 82, NewNutrition, glutamina
85.99, 85.99, 251, Sem Marca, glutamina
30, 30, 101, Integralmedica, glutamina
50, 50, 34, Maxx Power Nutrition, glutamina
149.9, 149.9, 320, Performance Nutrition, glutamina
29.9, 29.9, 65, Red nutrition, glutamina
64.99, 64.99, 129, NutraNatus, glutamina
44.9, 44.9, 67, Integralmedica, glutamina
42.8, 42.8, 91, Performance Nutrition, glutamina
48, 48, 82, Sem Marca, glutamina
139, 139, 27, Optimum Nutrition, glutamina
149.9, 149.9, 146, performance, glutamina
42.9, 42.9, 206, performance, glutamina
68.6, 68.6, 68, Max Titanium, glutamina
33.79, 33.79, 73, Max Titanium, glutamina
124.8, 124.8, 88, Red Nutrition, glutamina
30, 30, 52, Atlhetica Nutrition, glutamina
120, 120, 36, Integralmedica, glutamina
35, 35, 55, NewNutrition, glutamina
122.9, 122.9, 132, Max Titanium, glutamina
61.12, 61.12, 32, Integralmedica, glutamina
29.9, 29.9, 40, red nutrition, glutamina
163.8, 163.8, 3, Black Skull, glutamina
61.53, 61.53, 47, Integralmedica, glutamina
110, 110, 0, Black Skull, glutamina
88, 88, 119, Vitafor, glutamina
139.99, 139.99, 19, NutraNatus, glutamina
45, 45, 22, Integralmedica, glutamina
149.9, 149.9, 63, Performance Nutrition, glutamina
31.3, 31.3, 35, Sem Marca, glutamina
250.26, 250.26, 4, NewNutrition, glutamina
149.9, 149.9, 50, Optimum Nutrition, glutamina
167.12, 167.12, 109, NewNutrition, glutamina
28.38, 28.38, 45, Sem Marca, glutamina
73.9, 73.9, 78, Max Titanium, glutamina
165, 165, 21, Integralmedica, glutamina
145, 122.5, 29, NewNutrition, glutamina
255.86, 255.86, 1, Black Skull, glutamina
199.99, 199.99, 16, Optimum Nutrition, glutamina
189.9, 189.9, 20, Sem Marca, glutamina
120.99, 120.99, 29, Max Titanium, glutamina
200, 170, 11, NewNutrition, glutamina
129, 129, 1, Black Skull, glutamina
108.11, 108.11, 1, Black Skull, glutamina
66.4, 66.4, 19, XGen, glutamina
158.4, 158.4, 103, Performance Nutrition, glutamina
189.9, 189.9, 7, Black Skull, glutamina
289.9, 289.9, 25, Perfomance Nutrition, glutamina
88, 88, 21, Vitafor, glutamina
285.99, 285.99, 24, Optimum Nutrition, glutamina
144.99, 144.99, 37, Sem Marca, glutamina
69.9, 69.9, 41, Integralmedica, glutamina
85, 85, 31, Sem Marca, glutamina
103.5, 103.5, 15, Max Titanium, glutamina
185.83, 185.83, 2, NewNutrition, glutamina
35, 35, 10, NewNutrition, glutamina
215, 215, 36, New Millen, glutamina
99.9, 99.9, 12, Dymatize, glutamina
139.9, 139.9, 29, Optimum Nutrition, glutamina
69.9, 69.9, 15, Integralmedica, glutamina
299.9, 299.9, 31, Optimum Nutrition, glutamina
128.7, 128.7, 7, Integralmedica, glutamina
170, 170, 2, NewNutrition, glutamina
139.9, 139.9, 37, Soldiers Nutrition, glutamina
80, 80, 14, Black Skull, glutamina
35, 35, 21, Optimum Nutrition, glutamina
149.99, 149.99, 20, Sem Marca, glutamina
34, 34, 0, Integralmedica, glutamina
179.9, 179.9, 0, Integralmedica, glutamina
249.99, 249.99, 47, Sem Marca, glutamina
94.9, 94.9, 6, NewNutrition, glutamina
249.99, 249.99, 17, Sem Marca, glutamina
144.24, 144.24, 11, Integralmedica, glutamina
69.99, 69.99, 22, Maxx Power Nutrition, glutamina
289.9, 289.9, 5, Black Skull, glutamina
300.12, 300.12, 1, NewNutrition, glutamina
163.95, 163.95, 5, Universal, glutamina
77, 77, 15, Integralmedica, glutamina
164.22, 164.22, 8, NewNutrition, glutamina
174.85, 174.85, 12, Allmax Nutrition, glutamina
172.99, 172.99, 45, Optimum Nutrition, glutamina
259.64, 259.64, 1, NewNutrition, glutamina
1200, 1200, 2, Performance Nutrition, glutamina
228.95, 228.95, 11, Sem Marca, glutamina
151, 151, 18, Max Titanium, glutamina
86.99, 86.99, 9, Vitafor, glutamina
56.99, 56.99, 30, Integralmedica, glutamina
106.9, 106.9, 11, Performance, glutamina
203.62, 203.62, 1, NewNutrition, glutamina
40, 40, 13, Atlhetica Nutrition, glutamina
75.7, 75.7, 11, Integralmedica/Performance, glutamina
251.4, 251.4, 5, Integralmedica + Performance Nutrition, glutamina
138.9, 138.9, 10, Integralmedica, glutamina
301.97, 301.97, 4, Sem Marca, glutamina
49.99, 49.99, 10, Max Titanium, glutamina
85.99, 85.99, 10, Max Titanium, glutamina
284.7, 284.7, 1, NewNutrition, glutamina
67, 67, 55, Integralmedica, glutamina
93.5, 93.5, 8, Probiotica, glutamina
156.1, 156.1, 6, Allmax Nutrition, glutamina
197.68, 197.68, 10, Max Titanium, glutamina
249.99, 249.99, 12, Sem Marca, glutamina
86.78, 86.78, 19, Black Skull, glutamina
133.8, 133.8, 9, Integralmedica, glutamina
167.12, 167.12, 1, NewNutrition, glutamina
119.99, 119.99, 5, Dymatize, glutamina
210, 210, 11, Probiotica, glutamina
24.9, 24.9, 9, Mais Nutrition, glutamina
45.99, 45.99, 123, Integralmedica, glutamina
69.9, 69.9, 113, Max Titanium, glutamina
321.9, 321.9, 9, MHP, glutamina
185.92, 185.92, 1, NewNutrition, glutamina
189, 189, 5, Sem Marca, glutamina
83.8, 83.8, 12, Performance Nutrition, glutamina
263.74, 263.74, 4, Integralmedica, glutamina
215, 215, 76, New Millen, glutamina
68.47, 68.47, 10, Sem Marca, glutamina
199.9, 199.9, 3, Ultimate Nutrition, glutamina
195.29, 195.29, 1, NewNutrition, glutamina
114.5, 114.5, 6, XGen, glutamina
120, 120, 4, Integralmedica, glutamina
32.79, 32.79, 20, Max Titanium, glutamina
120, 120, 11, MPN, glutamina
99.9, 99.9, 22, Atlhetica Nutrition, glutamina
58.7, 58.7, 9, Sem Marca, glutamina
114.9, 114.9, 4, Integralmedica, glutamina
175.32, 175.32, 1, NewNutrition, glutamina
143, 143, 5, Black Skull, glutamina
262, 262, 4, New Millen, glutamina
41.7, 41.7, 20, Sem Marca, glutamina
89.9, 89.9, 4, Optimum Nutrition, glutamina
120.75, 120.75, 5, Integralmedica, glutamina
49.38, 49.38, 8, Optimum Nutrition, glutamina
70, 70, 0, NewNutrition, glutamina
1250, 1250, 1, Performance, glutamina
189.99, 189.99, 5, Optimum Nutrition, glutamina
215, 215, 20, New Millen, glutamina
166.6, 166.6, 2, Integralmedica, glutamina
189.9, 189.9, 66, Optimum Nutrition, glutamina
124.22, 124.22, 6, Max Titanium, glutamina
71.2, 71.2, 8, New Millen, glutamina
35, 35, 3, NewNutrition, glutamina
149, 149, 2, Integralmedica, glutamina
59.99, 59.99, 16, Sem Marca, glutamina
149.99, 149.99, 12, Sem Marca, glutamina
146.37, 146.37, 1, Sem Marca, glutamina
29.99, 29.99, 5, NeoNutri, glutamina
76.56, 76.56, 2, Probiotica, glutamina
67, 67, 6, Integralmedica, glutamina
159.42, 159.42, 0, NewNutrition, glutamina
195, 195, 2, Black Skull, glutamina
75.5, 75.5, 5, Max Titanium, glutamina
109.9, 109.9, 22, gaspari nutrition, glutamina
121, 121, 3, Integralmedica, glutamina
59.9, 59.9, 31, Optimum Nutrition, glutamina
325, 325, 3, Max Titanium, glutamina
199.74, 199.74, 0, NewNutrition, glutamina
46, 46, 5, Nutrata, glutamina
89.99, 89.99, 4, Atlhetica Nutrition, glutamina
114.9, 114.9, 2, Integralmedica, glutamina
40.75, 40.75, 5, Sem Marca, glutamina
55.84, 55.84, 3, Max Titanium, glutamina
169.84, 169.84, 5, Sem Marca, glutamina
219.57, 219.57, 0, NewNutrition, glutamina
75, 75, 48, Optimum Nutrition, glutamina
69.99, 69.99, 12, Maxx Power Nutrition, glutamina
37.9, 37.9, 4, Integralmedica, glutamina
129.99, 129.99, 22, Max Titanium, glutamina
49.9, 49.9, 14, Sem Marca, glutamina
210, 210, 58, Max Titanium, glutamina
68.9, 68.9, 88, Integralmedica, glutamina
349.9, 349.9, 2, Lauton Nutrition, glutamina
247, 247, 0, NewNutrition, glutamina
44, 44, 3, XGen, glutamina
119.9, 119.9, 4, red nutrition, glutamina
282.7, 282.7, 1, Atlhetica Nutrition, glutamina
72.75, 72.75, 2, Integralmedica, glutamina
167.12, 167.12, 23, NewNutrition, glutamina
169.77, 169.77, 0, NewNutrition, glutamina
120, 120, 4, Dymatize, glutamina
115.9, 115.9, 8, Vitafor, glutamina
43.99, 43.99, 6, XGen, glutamina
57.92, 57.92, 5, Sem Marca, glutamina
119.9, 119.9, 6, Integralmedica, glutamina
69.9, 69.9, 1, Probiotica, glutamina
166, 166, 1, Sem Marca, glutamina
239.82, 239.82, 0, NewNutrition, glutamina
169.74, 169.74, 1, Integralmedica, glutamina
52.56, 19.9, 622, Creatina Monohidratada - 150 G - Nitech Nutrition, creatina
64.87, 49.9, 361, Max Titanium, creatina
42, 42, 650, Integralmedica, creatina
19.41, 19.41, 477, Max Titanium, creatina
42.5, 42.5, 935, Soldiers Nutrition, creatina
55, 55, 992, Max Titanium, creatina
53.25, 42.6, 511, Max Titanium, creatina
47.99, 47.99, 748, Universal, creatina
74.99, 74.99, 212, NutraNatus, creatina
179.1, 179.1, 220, Integralmedica, creatina
17.4, 17.4, 478, Max Titanium, creatina
69.9, 69.9, 401, Optimum Nutrition, creatina
42.42, 42.42, 197, Integralmedica, creatina
99.8, 99.8, 48, Integralmedica, creatina
14.89, 14.89, 138, Atlhetica Nutrition, creatina
32.9, 32.9, 17, Integralmedica, creatina
39.4, 39.4, 212, Integralmedica, creatina
45.8, 45.8, 145, Black Skull, creatina
55, 55, 37, Extreme Manipulacao, creatina
82, 82, 532, Universal, creatina
82.5, 82.5, 112, Max Titanium, creatina
79.9, 79.9, 166, Sem Marca, creatina
55, 55, 290, Max Titanium, creatina
54.99, 54.99, 121, Sem Marca, creatina
74, 74, 28, Max Titanium, creatina
32, 32, 295, Max Titanium, creatina
198.83, 198.83, 49, Universal, creatina
105, 105, 860, Universal, creatina
38.9, 38.9, 123, Universal, creatina
39.8, 39.8, 323, Universal, creatina
88.76, 88.76, 7, Black Skull, creatina
51.58, 51.58, 189, Black Skull, creatina
17, 17, 21, Integralmedica, creatina
48.9, 48.9, 194, Max Titanium, creatina
104.99, 104.99, 1036, Universal, creatina
16.9, 16.9, 108, Sem Marca, creatina
79.9, 79.9, 209, Optimum Nutrition, creatina
48.9, 48.9, 273, Sem Marca, creatina
17.9, 17.9, 94, Mais Nutrition, creatina
143.8, 143.8, 49, Integralmedica, creatina
47.9, 47.9, 33, Universal, creatina
38.8, 38.8, 26, Probiotica, creatina
49.4, 49.4, 0, GoldsNutrition, creatina
44.3, 44.3, 28, Universal, creatina
39.89, 39.89, 19, Atlhetica Nutrition, creatina
114.99, 114.99, 64, Sem Marca, creatina
120, 120, 122, Universal, creatina
97, 97, 43, Universal, creatina
48.99, 48.99, 414, Sem Marca, creatina
67.9, 67.9, 24, Universal, creatina
44.99, 44.99, 55, Sem Marca, creatina
30, 30, 30, Max Titanium, creatina
65, 65, 1, Sem Marca, creatina
38.34, 38.34, 40, Max Titanium, creatina
148.99, 148.99, 116, Sem Marca, creatina
41, 41, 37, Integralmedica, creatina
76.99, 76.99, 99, Sem Marca, creatina
69.9, 69.9, 31, Max Titanium, creatina
37, 37, 113, Probiotica, creatina
35.4, 35.4, 9, Max Titanium, creatina
90, 90, 20, Max Titanium, creatina
50, 50, 33, Integralmedica, creatina
48.78, 48.78, 64, Max Titanium, creatina
49.9, 49.9, 133, Probiotica, creatina
120, 120, 30, Max Titanium, creatina
88, 88, 44, Universal, creatina
38.43, 38.43, 44, Integralmedica, creatina
39.99, 39.99, 59, Probiotica, creatina
73.74, 73.74, 2, Black Skull, creatina
135, 135, 55, Sem Marca, creatina
69.9, 69.9, 478, Universal, creatina
35, 35, 14, Max Titanium, creatina
42, 42, 57, Optimum Nutrition, creatina
100, 100, 11, Universal, creatina
54.99, 54.99, 35, Max Titanium, creatina
49.9, 49.9, 33, Sem Marca, creatina
42, 42, 19, Universal, creatina
61.95, 61.95, 25, Probiotica, creatina
41.43, 41.43, 8, Max Titanium, creatina
69.9, 69.9, 17, Black Skull, creatina
85, 85, 0, Sem Marca, creatina
38.5, 38.5, 17, Integralmedica, creatina
97.65, 97.65, 42, NewNutrition, creatina
30.9, 30.9, 188, Universal, creatina
99.98, 99.98, 565, NutraNatus, creatina
48.78, 48.78, 368, Max Titanium, creatina
61.85, 61.85, 64, Integralmedica, creatina
29.8, 29.8, 120, Sem Marca, creatina
14, 14, 44, Atlhetica Nutrition, creatina
65, 65, 0, Sem Marca, creatina
87.04, 87.04, 55, Max Titanium, creatina
89.99, 89.99, 56, Universal, creatina
58.94, 58.94, 32, 4 Fuel, creatina
33, 33, 12, Integralmedica, creatina
35.19, 35.19, 0, Max Titanium, creatina
39.99, 39.99, 26, Sem Marca, creatina
48.77, 48.77, 14, Max Titanium, creatina
42, 42, 121, Universal, creatina
307.6, 307.6, 10, Ultimate Nutrition, creatina
17.25, 17.25, 9, Max Titanium, creatina
57.99, 57.99, 65, Sem Marca, creatina
107.9, 107.9, 22, Universal, creatina
16.9, 16.9, 14, Integralmedica, creatina
73.99, 73.99, 38, Optimum Nutrition, creatina
557, 557, 2, Max Titanium, creatina
38.9, 38.9, 45, Probiotica, creatina
22.9, 22.9, 59, Sem Marca, creatina
284.12, 284.12, 2, Universal, creatina
24.99, 24.99, 21, Max Titanium, creatina
68.99, 68.99, 50, Integralmedica, creatina
199.98, 199.98, 58, NutraNatus, creatina
217.9, 217.9, 12, Sem Marca, creatina
54.99, 54.99, 520, Universal, creatina
80, 80, 6, Max Titanium, creatina
17.9, 17.9, 29, Sem Marca, creatina
66.9, 66.9, 14, Dymatize, creatina
44, 44, 36, Integralmedica, creatina
29.9, 29.9, 42, Max Titanium, creatina
69.9, 69.9, 10, Universal, creatina
59, 59, 24, Sem Marca, creatina
25.9, 25.9, 39, Sem Marca, creatina
57, 57, 6, Max Titanium, creatina
63, 63, 12, Universal, creatina
39, 39, 31, Integralmedica, creatina
74.5, 74.5, 161, Puritan's Pride, creatina
48.79, 48.79, 6, Max Titanium, creatina
54.86, 54.86, 19, Optimum Nutrition, creatina
120, 120, 21, Sem Marca, creatina
64.9, 64.9, 226, Universal, creatina
49.9, 49.9, 27, Ultimate Nutrition, creatina
48.78, 48.78, 20, Max Titanium, creatina
53.9, 53.9, 8, Integralmedica, creatina
35, 35, 6, Sem Marca, creatina
128.8, 128.8, 5, Universal, creatina
50, 50, 16, Max Titanium, creatina
123.9, 123.9, 13, Atlhetica Nutrition, creatina
169, 169, 8, Black Skull, creatina
53, 53, 6, Integralmedica, creatina
323.9, 323.9, 2, Max Titanium, creatina
89.9, 89.9, 5, Universal, creatina
58.94, 58.94, 10, Arnold Nutrition, creatina
55, 55, 15, Sem Marca, creatina
34.9, 34.9, 20, Max Titanium, creatina
104.9, 104.9, 3, Universal, creatina
42.42, 42.42, 17, Integralmedica, creatina
44.5, 44.5, 14, Optimum Nutrition, creatina
61.9, 61.9, 47, Optimum Nutrition, creatina
71.54, 54.2, 4, Max Titanium, creatina
49, 49, 5, Universal, creatina
58.99, 58.99, 33, Sem Marca, creatina
45.9, 45.9, 24, Probiotica, creatina
31.41, 31.41, 10, Max Titanium, creatina
77.9, 77.9, 172, Integralmedica, creatina
29.9, 29.9, 59, Probiotica, creatina
234, 234, 3, Universal, creatina
338, 338, 0, Max Titanium, creatina
38.8, 38.8, 21, Sem Marca, creatina
65.9, 65.9, 57, Probiotica, creatina
120.17, 120.17, 23, Muscletech, creatina
89.99, 89.99, 16, Max Titanium, creatina
99.94, 99.94, 7, Universal, creatina
33, 33, 3, Integralmedica, creatina
16.59, 16.59, 10, 4 Fuel, creatina
167.2, 167.2, 14, Sem Marca, creatina
110, 110, 5, Max Titanium, creatina
72.9, 72.9, 10, Universal, creatina
19, 19, 9, Integralmedica, creatina
34, 34, 11, Black Skull, creatina
48.78, 48.78, 33, Max Titanium, creatina
109.99, 109.99, 55, Universal, creatina
119.99, 119.99, 34, Sem Marca, creatina
40.25, 40.25, 32, Optimum Nutrition, creatina
37.9, 37.9, 3, Max Titanium, creatina
35, 35, 8, Integralmedica, creatina
52.9, 52.9, 13, Universal, creatina
59.99, 59.99, 13, Atlhetica Nutrition, creatina
122.9, 122.9, 2, Max Titanium, creatina
45, 45, 31, Sem Marca, creatina
85, 85, 10, Extreme, creatina
43.2, 43.2, 53, New Millen, creatina
282, 282, 1, Max Titanium, creatina
165.95, 165.95, 0, Universal, creatina
32.9, 32.9, 34, Integralmedica, creatina
159, 159, 27, Sem Marca, creatina
38.05, 38.05, 11, Probiotica, creatina
587, 587, 1, Max Titanium, creatina
234, 234, 1, Universal, creatina
27, 27, 7, Integralmedica, creatina
50, 50, 9, Black Skull, creatina
54, 54, 8, Max Titanium, creatina
102, 102, 5, Universal, creatina
99.9, 99.9, 6, Black Skull, creatina
41.9, 41.9, 6, Probiotica, creatina
39.9, 39.9, 11, Max Titanium, creatina
25, 25, 28, Integralmedica, creatina
129.9, 129.9, 12, Universal, creatina
89.9, 89.9, 5, Black Skull, creatina
532, 532, 0, Max Titanium, creatina
32, 32, 13, Atlhetica Nutrition, creatina
79.9, 79.9, 6, Musclepharm, creatina
